Name,ID,Check Number,Date,Amount
BOB DARIUS,1367,11127,2/25/12,55
AARON UD,1137,11012,1/4/12,30
BERTRAM DANILO,1351,11119,2/25/12,30
AURELIO CORY,1305,11096,2/19/12,30
ALVARO CHAUNCEY,1215,11051,1/19/12,45
DONTE DENIS,1417,11152,3/18/12,65
BOBBIE DARNELL,1369,11128,2/25/12,55
BARRETT CRISTOBAL,1313,11100,2/23/12,30
ANGELO CLARK,1241,11064,2/1/12,65
ANDERSON CHRIS,1225,11056,1/24/12,65
Christie Ledeker,1111,10999,1/4/12,30
DOMINIC DAVIS,1395,11141,3/7/12,55
AUGUSTINE CORNELL,1301,11094,2/17/12,30
BASIL CURTIS,1321,11104,2/25/12,30
ABE BUFORD,1141,11014,1/5/12,30
Crockett Davey,1119,11003,1/4/12,30
AUGUSTUS CORTEZ,1303,11095,2/18/12,30
ARTHUR COLUMBUS,1289,11088,2/11/12,30
AGUSTIN CARL,1161,11143,3/9/12,55
DONNIE DELMER,1411,11149,3/15/12,55
DOMINGO DAVID,1393,11140,3/6/12,55
DILLON DARRON,1383,11135,3/1/12,55
DONNIE DELMER,1411,11125,2/25/12,55
Gates Bill,1123,11005,1/4/12,30
AVERY COY,1309,11098,2/21/12,30
ALBERTO CARMINE,1173,11030,1/17/12,30
BENJAMIN DALTON,1331,11109,2/25/12,30
AMBROSE CHI,1221,11054,1/22/12,65
ARNOLD COLBY,1277,11082,2/9/12,90
DOYLE DERICK,1429,11158,3/24/12,65
ARLEN CLINT,1269,11078,2/9/12,90
ANTOINE CLAY,1249,11068,2/5/12,65
Smith Bob,1135,11011,1/4/12,30
ALTON CHAS,1211,11049,1/17/12,45
BARRY CRISTOPHER,1315,11101,2/24/12,30
BEN CYRUS,1325,11106,2/25/12,30
ANTIONE CLAUDIO,1247,11067,2/4/12,65
BOOKER DARREL,1373,11130,2/25/12,55
ANDRE CHRISTIAN,1227,11057,1/25/12,65
DONN DELBERT,1407,11147,3/13/12,55
BERRY DANIAL,1347,11117,2/25/12,30
BO DARIO,1365,11126,2/25/12,55
ARIEL CLIFTON,1267,11077,2/9/12,90
DEWITT DARRELL,1375,11131,2/26/12,55
Cartman Eric,1117,11002,1/4/12,30
BENJAMIN DALTON,1331,11155,3/21/12,65
Bush George,1115,11001,1/4/12,30
Rockne Knute,1131,11009,1/4/12,30
BERNIE DANE,1345,11116,2/25/12,30
DONNY DEMARCUS,1413,11150,3/16/12,55
ASA CONRAD,1293,11090,2/13/12,30
DORSEY DENNY,1421,11154,3/20/12,65
DOUGLASS DEREK,1427,11157,3/23/12,65
ALAN CARMELO,1169,11028,1/15/12,30
DINO DARRYL,1385,11136,3/2/12,55
ANDRES CHUCK,1233,11060,1/28/12,65
AMADO CHET,1219,11053,1/21/12,65
AUSTIN COURTNEY,1307,11097,2/20/12,30
ADOLPH CAMERON,1157,11022,1/9/12,30
ABRAM BURTON,1147,11017,1/8/12,30
DON DEANGELO,1401,11144,3/10/12,55
ALLAN CHADWICK,1199,11043,1/17/12,45
ADRIAN CAREY,1159,11023,1/10/12,30
ALONSO CHANG,1203,11045,1/17/12,45
ALFONSO CECIL,1189,11038,1/17/12,45
Munster Herman,1129,11008,1/4/12,30
ALFREDO CESAR,1195,11041,1/17/12,45
ALLEN CHANCE,1201,11044,1/17/12,45
BERNARD DAN,1341,11114,2/25/12,30
ABEL BURL,1143,11015,1/6/12,30
DWAIN DEWEY,1443,11165,3/31/12,65
ANGEL CLARENCE,1239,11063,1/31/12,65
ADAM BYRON,1151,11019,1/8/12,30
BART CRUZ,1317,11102,2/25/12,30
ADOLFO CALVIN,1155,11021,1/8/12,30
DORIAN DENNIS,1419,11153,3/19/12,65
ALEJANDRO CARSON,1181,11034,1/17/12,45
ANDREW CHUNG,1235,11061,1/29/12,65
DUNCAN DEVIN,1437,11162,3/28/12,65
ANDREA CHRISTOPER,1229,11058,1/26/12,65
AL CARLTON,1167,11027,1/14/12,30
DUSTIN DEVON,1439,11163,3/29/12,65
AHMED CARLOS,1165,11026,1/13/12,30
DONOVAN DEMETRIUS,1415,11151,3/17/12,55
ANDY CLAIR,1237,11062,1/30/12,65
ALEX CARTER,1183,11035,1/17/12,45
DUANE DESHAWN,1433,11160,3/26/12,65
ALEXIS CASEY,1187,11037,1/17/12,45
ARNOLDO COLE,1279,11083,2/9/12,90
ANTONY CLETUS,1259,11073,2/9/12,90
DONALD DEE,1403,11145,3/11/12,55
