ID,PIN,FirstName,LastName,Address,City,State,Postal
1127,5571,Kong,King,Empire State Building,New York,NY,10118
1133,5577,Simpson,Homer,742 Evergreen Terrace,Springfield,US,12345
1149,5593,ADALBERTO,BUSTER,Somewhere on the Beach,,NY,46015
1153,5597,ADAN,CALEB,84 Bigboned Way,,ND,46019
1163,5607,AHMAD,CARLO,Empire State Building,,DC,46029
1171,5615,ALBERT,CARMEN,12 Main Street,,WA,46037
1179,5623,ALEC,CARROLL,742 Evergreen Terrace,,IN,46045
1205,5649,ALONZO,CHARLES,742 Evergreen Terrace,,TX,46071
1213,5657,ALVA,CHASE,55 Gnocchi,,NY,46079
1245,5689,ANTHONY,CLAUDE,111 Spaghetti Way,,IN,46111
1253,5697,ANTONE,CLEMENT,930 Purple drive,,TX,46119
1255,5699,ANTONIA,CLEMENTE,122 Maryland Ave.,,DC,46121
1263,5707,ARCHIE,CLIFF,The Alamo,,ND,46129
1271,5715,ARLIE,CLINTON,Empire State Building,,CA,46137
1281,5725,ARNULFO,COLEMAN,111 Spaghetti Way,,NJ,46147
1287,5731,ART,COLTON,742 Evergreen Terrace,,DC,46153
1299,5743,AUGUST,CORNELIUS,The Alamo,,NY,46165
1311,5755,BARNEY,CRAIG,146 Keenan Hall,,DC,46177
1343,5787,BERNARDO,DANA,55 Gnocchi,,WA,46209
1353,5797,BILL,DANNIE,1600 Pennsylvania Ave,,US,46219
1357,5801,BILLY,DANTE,The Alamo,,CA,46223
1359,5803,BLAINE,DARELL,821 Zimbabwe Ave,,NM,46225
1405,5849,DONG,DEL,146 Keenan Hall,,WA,46271
1409,5853,DONNELL,DELMAR,12 Main Street,,NY,46275
1431,5875,DREW,DERRICK,821 Zimbabwe Ave,,NY,46297
1441,5885,DUSTY,DEWAYNE,146 Keenan Hall,,IN,46307
1209,5653,ALPHONSO,CHARLIE,111 Spaghetti Way,,WA,46075
1275,5719,ARMANDO,CODY,146 Keenan Hall,,NV,46141
1285,5729,ARRON,COLLIN,55 Gnocchi,,FL,46151
1297,5741,AUBREY,COREY,84 Bigboned Way,,NY,46163
1323,5767,BEAU,CYRIL,742 Evergreen Terrace,,NY,46189
1339,5783,BENTON,DAMON,111 Spaghetti Way,,TX,46205
1371,5815,BOBBY,DARON,742 Evergreen Terrace,,FL,46237
1391,5835,DOMENIC,DAVE,84 Bigboned Way,,US,46257
1261,5705,ANTWAN,CLEVELAND,84 Bigboned Way,,NY,46127
1295,5739,ASHLEY,CORDELL,1600 Pennsylvania Ave,,WA,46161
1329,5773,BENITO,DALLAS,Empire State Building,,US,46195
1333,5777,BENNETT,DAMIAN,146 Keenan Hall,,FL,46199
1381,5825,DIEGO,DARRIN,742 Evergreen Terrace,,WA,46247
1387,5831,DION,DARWIN,Somewhere on the Beach,,ND,46253
1217,5661,ALVIN,CHESTER,930 Purple drive,,IN,46083
1223,5667,AMOS,CHONG,1600 Pennsylvania Ave,,FL,46089
1243,5687,ANIBAL,CLAUD,12 Main Street,,US,46109
1257,5701,ANTONIO,CLEO,Somewhere on the Beach,,WA,46123
1273,5717,ARMAND,CLYDE,1313 Mockingbird Lane,,NM,46139
1291,5735,ARTURO,CONNIE,122 Maryland Ave.,,TX,46157
1327,5771,BENEDICT,DALE,194 Deelux Apartments,,IN,46193
1349,5793,BERT,DANIEL,122 Maryland Ave.,,ND,46215
